毖	bb6
溸	Eci6
浈	Eci8
浊	Eci3
冱	Efo
淝	EfE
涣	EfY
活	EfL
汸	EfT
汾	Ef8
沨	Ef3
沪	Efio
湖	EfiA
瀚	EfiY
漶	Efi6
湟	EfiT
涽	Efi8
洄	EfiV
澪	E6li8
妣	AbE
婊	AbiL
嬖	Abi6
姅	AbiT
妚	ApE
嫎	ApT
姵	ApV
嫖	ApiL
媥	Api2
姠	ApiT
妈	Ama
嫫	Amo
妺	Amo
婂	Ame
嬵	Ame
姆	AmA
媚	AmV
嫲	Amia
媌	AmiL
媒	Ami6
娩	Ami2
姄	Ami8
娓	Awe
媯	AwE
妩	Aw6
媦	Awie
婉	Awi2
妄	AwiT
妏	Awi8
嫁	Ajua
妎	Aje
嫌	AjY
姣	AjL
娚	Aj2
媝	Aqu6
姾	Aqu2
媗	Axu2
姰	Axu8
嫙	AxuV
姺	Ax2
娅	Ayua
嫄	Ayu2
妘	Ayu8
婹	AyL
姎	AyT
姻	Ay8
媤	Anua
耍	AnuY
嬝	AnuL
娜	Ana
妮	AnE
奶	AnY
婻	An2
嬣	An8
姹	AzuY
姚	AzuL
嫥	Azu2
嫧	Aze
妱	AzL
姃	Az8
妕	Az3
婇	ADuY
媋	ADu8
嬦	AD6
娼	ADT
娍	AD8
孀	AsuT
娑	Aso
妇	AsL
嫂	As6
妽	As8
媷	Arua
妊	Aru8
媃	Ar6
姌	Ar2
嫆	Ar3
嫃	AHu8
孆	AHu3
姪	AHY
好	AHL
姞	ANo
娭	ANY
妌	AN8
嬧	AN3
婍	ANi6
姒	ANiT
婛	ANi3
愑	Alyu3
娌	AlE
娽	AlA
婡	AlY
姥	AlL
嫏	AlT
姴	Alie
媹	Ali6
嫘	AliV
媂	AdE
嬁	Ad8
娻	Ad3
娣	AdV
奵	Adi8
始	AtY
嫍	AtL
婷	At8
婖	Ati2
娗	Ati8
媴	AtiV
姑	AgA
妃	AgiY
娔	Ake
妍	AkY
妸	Akie
嫝	AkiT
姂	Ahia
婬	A43
嬉	A5o
姖	A5V
嬼	Av6
孋	AviY
嬚	Avi2
孁	Avi8
娶	AFT
妪	AFi6
婰	AFi2
媇	AFi8
嫀	AFi3
妤	A7L
姯	ABT
婠	ABi2
嫦	ABiT
姱	Aca
婌	AcL
婫	Ac8
嫊	Aci6
嬅	Afa
媍	AfA
妨	AfT
妢	Af8
婔	AfV
婲	Afia
妒	Afio
姀	Afie
媩	AfiA
嬏	Afi2
媓	AfiT
婚	Afi8
恛	AfiV
姙	AVru8
悖	Ybo
怭	Yb6
怖	Yb3
惼	Ybi2
怑	YbiT
慓	YpiL
怦	Ypi8
惬	Ymqa
慔	Ymo
恈	Ym6
慢	Ym2
悯	Ym8
懞	Ym3
怃	Yw6
悟	Ywi6
惋	Ywi2
惓	Yju2
慻	Yju2
恮	Yqu2
悏	Yqa
怯	YqA
忏	Yq2
情	Yq8
恂	Yxu8
懈	Yxe
恘	Yx6
惺	Yx8
忷	Yx3
怞	Yyu6
悀	Yyu3
怏	YyT
愢	Ynua
惗	Ynu2
怩	YnE
廿	Yn2
恤	YnV
怍	Yza
怔	Yz8
惙	YDuo
怆	YDuT
憁	YDu3
慛	YDuV
恻	YDe
慒	YDL
懤	YD6
惨	YD2
怵	YsA
悚	Ys3
愺	YruL
忮	YHua
恉	YHuL
恃	YHuT
慎	YHu8
惭	YH2
懝	YNE
忾	YN6
悈	YN2
悸	YNio
憬	YNi8
惊	YNi3
恟	Ylx3
悝	YlE
恅	YlL
懔	Yl8
怜	Ylio
懒	YliY
憕	Yd8
忊	Ydi8
惦	YdiV
悌	YtE
慆	YtL
憆	YtT
忲	YtiY
慖	Ygo
惈	Ygio
愲	YgiA
忋	YgiY
忓	Ygi2
悭	Yko
忼	YkT
悾	Yk3
懺	Yk1
愎	YkiY
慷	YkiT
忔	Yhu6
愒	Yhe
悙	Yh8
恢	YhV
慌	YhiT
愕	Y4o
懊	Y4L
恓	Y5a
忆	Y5E
憶	Y5L
怇	Y5V
慀	Y5i6
惧	Y5iV
惀	Yv8
怺	Yvi3
憞	YF8
惇	YF8H
愉	Y7o
怮	Y76
忳	Y78
愔	Y73
恸	Y7i3
慉	YBo
愅	YBe
怪	YBY
慥	YBL
惯	YB2
憷	YBi6
悺	YBi2
恗	Yca
恇	YcT
憟	Ycio
愫	Yci6
恆	Yfo
憾	Yf6
悱	YfV
憣	Yfi2
惶	YfiT
惛	Yfi8
惽	Yfi8H
饽	Lbo
饱	LbL
饼	Lbi3
饷	LpiT
馍	Lmo
馒	Lm2
饥	LjE
饺	LjL
饮	Lqo
馕	LnT
馇	LDua
餟	LDuo
馐	LDu6
馓	Lsua
馊	Ls6
饪	Lru8
饵	Lre
饲	LHo
馏	Lli6
饾	Ldi6
馁	Ltio
舔	Lti2
餹	LtiT
餸	LgE
饕	LhL
饸	Lhie
餱	Lhi6
兕	L4ie
饨	L78
馀	L7io
馆	LBi2
蚀	Lci3
饭	Lf2
雨巴	6ba
雹	6bL
霹	6pa
霢	6piY
霉	6mV
霂	6miA
雯	6wi8
雾	6wi3
浆	6jT
霎	6qY
氰	6q8
霄	6xL
氩	6yua
氧	6yuT
雲	6yu8
氖	6nY
霑	6z2
霰	6sua
氜	6rE
氨	6Ni2
氯	6lA
零	6li8
氘	6dL
氭	6d3
氡	6di3
霆	6ti8
汞	6g3
氚	6giV
氦	6hY
霪	643
氟	64iL
露	6vo
雳	6vi6
氛	6f8
霏	6fV
笆	2ba
笨	2b8
簸	2bio
笾	2bie
簰	2pY
籓	2p2
瓢	2piL
篻	2piLH
篇	2pi2
笃	2ma
笷	2miT
筮	2wia
箭	2juV
笳	2ja
简	2j2
竸	2j8
笕	2jV
筌	2qu2
箧	2qa
箐	2q8
筅	2x2
箱	2xT
篂	2x8
竽	2yA
筵	2yY
篞	2ne
箤	2zuV
箦	2ze
轰	2Due2
篬	2DuT
筹	2D6
箠	2DV
篹	2su2
笙	2su3
筛	2sY
筎	2rA
笍	2rV
笥	2Ho
筝	2H8
笈	2Na
箩	2lo
箓	2lA
篓	2l6
笼	2l3
籁	2liY
簦	2d8
第	2dV
笗	2di3
筒	2t3
篠	2tiL
篖	2tiT
筳	2ti8
篙	2gL
筶	2giL
笱	2gi6
竿	2gi2
兢	2ke
笄	2kY
箜	2k3
簆	2ki6
看	2ki2
筑	2ki3
筏	2ha
籇	2hL
筕	2hT
篌	2hi6
符	24i3
箵	25e
簬	2vo
簕	2ve
篱	2viV
筁	2FE
簉	2BL
管	2Bi2
筐	2cT
簇	2cia
篁	2fiT
筘	28k6
瞟	TpiL
眯	TmE
眊	TmL
眸	Tm6
眄	Tmie
瞄	TmiL
眠	Tmi8
望	TwT
眷	Tju2
靚	Tq8
觑	TxA
睲	TxT
着	TyuT
眻	TyuT
眏	TyT
聍	Tn8
睟	TzuV
职	TzE
觇	Tz2
睬	TDuY
睶	TDu8
聪	TDu3
耸	TD3
睡	TDV
眒	Ts8
瞀	TrmiY
瞤	TruV
聃	Tr2
瞻	THu2
睁	TH8
睐	TlY
䁖	Tl6
聋	Tl3
眬	Tl3
聆	Tli8
耷	Tda
瞪	Td8
覴	Td8H
睇	TdV
盯	Tdi8
瞠	TtT
瞳	Tti3
联	TgE
耿	Tho
眨	Thia
睺	Thi6
瞗	TFiL
觎	T7o
盻	TcE
督	TcL
眶	TcT
睽	TciV
眆	TfT
睧	Tfi8
把	8ba
抔	8bA
抱	8bL
搬	8b2
挷	8bT
抪	8b3
拔	8bia
揙	8bi2
拌	8biT
摈	8bi8
摒	8bi3
揹	8biV
播	8p2
拨	8pio
扑	8piA
抨	8pi8
搁	8mge
摸	8mo
拇	8mA
摱	8m2
扪	8m8
抹	8mio
描	8miL
抿	8mi8
擝	8mi3
挖	8wa
抚	8w6
握	8wio
捂	8wi6
掘	8juo
撅	8jue
揵	8juY
撽	8juL
扏	8ju6
捲	8ju2
捃	8ju8
据	8jA
摪	8jT
搅	8jV
挸	8jV
掮	8quY
揪	8qu6
擒	8qu3
挟	8qa
抾	8qA
接	8qY
扦	8q2
摾	8qT
撬	8qiL
莏	8yso
掖	8ye
掩	8y2
拥	8y3
捻	8nu2
撕	8nuT
挪	8na
扰	8n6
揇	8n2
攮	8nT
拧	8n8
抓	8zua
摺	8zue
挓	8zuY
抟	8zu2
摶	8zu2
撙	8zu8
拃	8za
抧	8zE
招	8zL
撮	8zV
桚	8zia
採	8DuY
摧	8DuV
擦	8Da
搓	8Do
拙	8DA
掺	8D2
捶	8DV
撒	8sua
搠	8suo
扚	8suL
挩	8suV
摋	8sa
挱	8so
扫	8sL
掃	8sL
搜	8s6
搡	8sT
捒	8s3
搙	8rua
搦	8ruo
撑	8ruT
搽	8ra
挕	8re
揉	8r6
抩	8r2
搈	8r3
抐	8rV
指	8HuL
扯	8Hu6
撄	8Hu3
摲	8H2
拭	8HT
挣	8H8
擬	8NE
拘	8NA
挨	8NY
按	8Ni2
拟	8NiT
搂	8l6
拦	8l2
拢	8l3
擂	8lV
挒	8lie
攋	8liY
籀	8li6
拎	8li8
攂	8liV
抖	8d6
担	8d2
挡	8dT
挞	8dia
抵	8diT
打	8di8
掂	8diV
拆	8to
抬	8tY
搯	8tL
摊	8t2
掾	8tV
掭	8ti2
搪	8tiT
挺	8ti8
掴	8go
摡	8gY
搞	8gL
抅	8g6
掆	8gT
找	8gV
挌	8gie
扞	8gi2
挭	8gi8
拱	8gi3
拄	8ka
拷	8kL
扣	8k6
抗	8kT
掯	8k8
控	8k3
捗	8kia
攃	8huY
抛	8hL
捍	8h2
掝	8hio
拾	8hie
拵	84u8
扼	84e
擙	84L
摁	848
擓	84V
扶	84ia
揜	84i2
拊	84i3
擤	85e
拒	85V
携	85ie
揽	8v2
抡	8v8
掳	8via
攎	8viaH
捣	8FL
撴	8F8
揿	8F3
扙	8FiT
擀	87gi2
捳	87Y
抒	87L
拗	876
揄	87io
搐	8Bo
捉	8B6
掼	8B2
挄	8BT
挂	8Bia
掛	8Bia
拐	8BiY
拯	8Bi3
挎	8ca
掓	8cL
搧	8cie
揆	8ciV
撶	8fa
换	8fY
撼	8f6
护	8fio
捧	8fi3
玻	3bio
璧	3bi6
瑸	3bi8
珮	3pV
玶	3pi8
玛	3ma
珉	3mi8
琬	3wi2
玟	3wi8
玮	3wiV
珺	3ju8
珈	3ja
玑	3jE
琚	3jA
玖	3j6
现	3jV
瑔	3quo
猋	3quV
琪	3qE
球	3q6
琇	3xu6
瑄	3xu2
珣	3xu8
璇	3xuV
瑆	3x8
璓	3yxu6
玥	3yue
琰	3yuV
琊	3ya
瑏	3ya
袭	3yE
玗	3yA
玺	3nu8
瑛	3nu3
瑡	3nuV
瑼	3zu2
璻	3zuV
珠	3zA
玱	3DuT
瑃	3Du8
璁	3Du3
璀	3DuV
瑳	3Do
珅	3s8
珥	3re
珃	3r2
瑢	3r3
瑱	3Hu8
璎	3Hu3
矗	3H6
玼	3HV
琎	3N8
琦	3Ni6
璟	3Ni8
理	3lE
琭	3lA
珯	3lL
瑯	3lT
珑	3l3
瑠	3li6
琏	3li2
玲	3li8
玳	3dY
珰	3dT
璒	3d8
玎	3di8
垚	3tA
珆	3tY
瑫	3tL
䶮	3ti2
瑭	3tiT
珽	3ti8
玵	3g2
玽	3gi6
玕	3gi2
珙	3gi3
珂	3kie
珩	3hT
琥	3hiL
琀	3hi2
琌	34i3
璐	3vo
琍	3vV
璃	3viV
瑖	3F2
玙	37a
瑜	37o
珖	3BT
珵	3B8
珪	3BV
琯	3Bi2
承	3Bi3
森	3c
璯	3cY
璛	3c6
琨	3c8
瑍	3fY
玢	3f8
瑚	3fiA
璠	3fi2
瑝	3fiT
爸	Vba
侼	Vbo
俻	Vbe
孢	VbL
佖	Vb6
体	Vb8
佈	Vb3
偹	VbV
彼	Vbio
佰	VbiY
俵	VbiL
徧	Vbi2
伴	VbiT
傧	Vbi8
併	Vbi3
倂	Vbi3
丠	VbiV
偝	VbiV
僻	Vpa
儤	VpL
僠	Vp2
徬	VpT
倗	Vp3
佩	VpV
仆	VpiA
僄	VpiL
偏	Vpi2
闪	Vm
摹	Vmo
侔	Vm6
僈	Vm2
们	Vm8
仫	Vm1
俛	Vmi2
佤	Vwa
伪	VwE
僞	VwEH
偎	VwL
儛	Vw6
往	VwT
彺	VwT
倭	VwV
偓	Vwio
伍	VwiA
俉	Vwi6
倇	Vwi2
伟	VwiV
傢	Vjua
倔	Vjuo
健	VjuY
僬	VjuL
仇	Vju6
倦	Vju2
佭	VjuT
侰	Vju8
伽	Vja
仉	VjE
倨	VjA
傔	VjY
佼	VjL
傹	Vj8
伒	Vj3
儙	Vque
侨	VquL
佺	Vqu2
倾	Vqu8
俅	Vq6
仟	Vq2
侾	VxuL
徇	Vxu8
俙	VxE
兇	Vx3
俹	Vyua
俨	VyuY
侥	VyuL
佯	VyuT
伝	Vyu8
俑	Vyu3
伢	Vya
依	VyE
御	VyY
偠	VyL
佣	Vy3
偲	Vnua
孽	Vnue
侕	VnuY
你	Vnu8
偀	Vnu3
伲	VnE
孕	VnY
优	Vn6
優	Vn6
儾	VnT
侬	Vn3
侐	VnV
侳	Vzuo
侘	VzuY
侜	Vzu6
传	Vzu2
僔	Vzu8
偅	Vzu3
倅	VzuV
倬	Vzo
债	Vze
侏	VzA
侢	VzY
佋	VzL
佔	Vz2
征	Vz8
惩	Vz8F
仲	Vz3
伡	VDue
倸	VDuY
伧	VDuT
傖	VDuT
偆	VDu8
催	VDuV
侧	VDe
傮	VDL
俦	VD6
傪	VD2
倡	VDT
從	VD3
倕	VDV
甥	Vsu3
傁	Vs6
伸	Vs8
倳	Vsi
倣	VrfT
倜	Vru6
任	Vru8
佐	Vro
佴	Vre
侞	VrA
仩	VrT
仞	Vr8
傛	Vr3
肉	VrV
仼	VHwT
孖	VHHL
什	VHuo
孳	VHuY
企	VHu6
侍	VHuT
佽	VHuV
倁	VHa
伺	VHo
伫	VHA
侄	VHY
仔	VHL
值	VH6
佌	VHV
偨	VHVc
彶	VNa
佶	VNo
儗	VNE
俟	VNY
侪	VNL
侭	VN3
侒	VNi2
似	VNiT
倞	VNi3
儸	Vlo
俚	VlE
俫	VlY
佬	VlL
偻	Vl6
侽	Vl2
係	Vlia
例	Vlie
僆	Vli2
俍	VliT
伶	Vli8
儡	VliV
傫	VliVu
侈	Vdo
得	Vde
偙	VdE
但	Vd2
儅	VdT
僜	Vd8
倲	Vd3
俤	VdV
僀	VdiY
侸	Vdi6
低	VdiT
仃	Vdi8
佟	Vdi3
孡	VtY
停	Vt8
侗	Vt3
僣	Vtia
俀	Vtio
佃	Vtie
條	VtiL
傏	VtiT
僮	Vti3
个	Vga
個	Vga
囻	Vgo
估	VgA
佄	Vg2
价	Vgia
佫	Vgie
傦	VgiA
仠	Vgi2
昬	Vgi8
供	Vgi3
住	Vka
侤	VkL
佝	Vk6
侃	Vk2
伉	VkT
倥	Vk3
復	VkiY
儆	Vki8
亓	VhuE
偘	Vhu8
伙	Vho
孩	VhY
儫	VhL
俿	VhiL
徏	V4uo
倃	V4u6
侟	V4u8
佀	V4uV
偔	V4o
伕	V4ia
俯	V4io
佛	V4iL
仅	V4i6
俘	V4iT
附	V4i3
僖	V5o
亿	V5E
仪	V5Y
億	V5L
徲	V56
役	V5T
伈	V53
佢	V5V
儶	V5ie
傒	V5i6
杰	V5i2
傑	V5i2
俱	V5iV
伦	Vv8
兊	Vv3
俐	VvV
儢	Vvia
俪	VviY
傈	VviL
俩	VviT
佃	VFe
臋	VFie
伛	VFi6
仗	VFiT
儭	VFi8
偷	V7o
伃	V7L
孧	V76
佑	V7i6
俼	V7iT
傗	VBo
促	VB6
侊	VBT
侱	VB8
僝	VBie
儊	VBi6
倌	VBi2
伞	Vc
侉	Vca
侩	VcY
俶	VcL
僳	Vcio
傓	Vcie
傃	Vci6
僐	Vci2
侦	Vci8
旛	Vffi2
俷	VfE
偩	VfA
仮	Vf2
仿	VfT
份	Vf8
偑	Vf3
偟	VfiT
俸	Vfi3
佪	VfiV
徱	VVpiL
侚	VVxu8
徉	VVyuT
佂	VVz8
徝	VVH6
徕	VVlY
儓	VVtY
徎	VVB8
彷	VVfT
徨	VVfiT
鄙	1b1
陂	1bio
邶	1biV
邳	1pE
邺	1p6
鄱	1p2
鄮	1miT
邬	1wA
隈	1wL
降	1juT
郡	1ju8
阶	1je
郊	1jL
郏	1qa
阡	1q2
郇	1xu8
郗	1xE
邧	1yuo
邮	1yu6
邪	1ya
隐	1nuo
陑	1nuY
卹	1nV
邾	1zA
阵	1Due
陲	1DV
隧	1sV
邡	1HfT
郅	1HY
阱	1N8
陇	1l3
郄	1lio
邻	1li8
阧	1d6
邓	1d8
鄧	1d8
隥	1d8H
陈	1d3
郖	1di6
邸	1diT
邰	1tY
郜	1giL
郠	1gi8
叩	1k6
邟	1kT
郂	1hY
郈	1h6
郃	1hie
鄇	1hi6
鄂	14o
隘	15iY
陆	1vie
郦	1viY
酃	1vi8
隅	17ia
陛	1BE
郐	1cY
鄯	1ci2
邝	1ciT
防	1fT
隍	1fiT
譬	ipa
谱	ipA
谝	ipi2
评	ipi8
谟	imo
谩	im2
谋	imi6
譕	iw6
讳	iwV
诿	iwV
诬	iwia
谓	iwie
讥	ijE
谴	ique
诠	iqu2
请	iq8
诱	ixu6
询	ixu8
謃	ix8
讻	ix3
訩	ix3
诵	iyu3
讶	iya
诞	iyY
谜	izmE
诧	izuY
譐	izu8
谇	izuV
诈	iza
识	izE
诛	izA
诏	izL
詀	iz2
证	iz8
謿	iDuL
诚	iD8
说	isuV
説	isuV
諟	isE
讪	is2
訷	is8
让	irT
認	ir8
詜	iHua
诣	iHuL
谵	iHu2
诗	iHuT
词	iHo
试	iHT
诤	iH8
诫	iN2
谊	iNT
讲	iN8
记	iNia
詾	ilx3
谛	idE
诋	idiT
订	idi8
诉	ito
諪	it8
謌	ige
诂	igA
诰	igiL
註	ika
警	iki8
讫	ihu6
诙	ihV
谎	ihiT
谔	i4o
议	i5Y
设	i5T
訫	i53
讵	i5V
谥	i5iY
论	iv8
谕	i7o
谭	i72
谚	i7iV
诖	iBia
誇	ica
诓	icT
譁	ifa
话	ifL
访	ifT
讽	if3
诽	ifV
訸	ifie
